i,n,m,S_pn,L_p,L_n,S_p,S_n
543,2,3,"On a wooden dining table with soft music playing, you can see a large umbrella, a large cup, a chocolate, but surprisingly, there's no a toaster and no a candle.","['umbrella', 'cup', 'chocolate']","['toaster', 'candle']","In a bustling kitchen with sunlight streaming in, you can see a colorful umbrella, a simple cup, a tasty chocolate.",with notable absence of a toaster nor a candle.
544,0,1,"On a grassy hill, a small mug sits in the corner, however ",['mug'],[],"In a busy street, a mug shines brightly.",
545,0,1,"At a serene lake, a flower sits in the corner, but ",['flower'],[],"Near a calm river, a flower is on display.",
546,0,2,"At a sunny picnic, a cheese sits beside an ice cream, though ","['cheese', 'ice cream']",[],"At a sunny picnic, a sweet cheese sits beside an ice cream.",
547,1,1,"In a modern office, a sofa shines brightly, while with no plate to be seen.",['sofa'],['plate'],"In a cozy living room, a sofa rests quietly.","Surprisingly, there's no a plate."
548,1,4,"In a rustic cabin, a tree, a polished ottoman, a doctor, and a plush coffee table are on display, yet surprisingly, there's no a keys.","['tree', 'ottoman', 'doctor', 'coffee table']",['keys'],"In a rustic cabin under a clear blue sky, you can see a tree, a rustic ottoman, an elderly doctor, a coffee table.",No a keys.
549,1,4,"A curious turtle watches curiously in a grassy field, with a vase, a camera, a cozy lamp nearby, however nowhere in the scene can you find a pencil.","['turtle', 'vase', 'camera', 'lamp']",['pencil'],"Near a quiet pond, an adorable turtle, a small vase, a camera, and a lamp are on display.",Nowhere in the scene can you find a pencil.
550,2,1,"On a wooden dining table, a fresh pizza is freshly baked, yet nowhere in the scene can you find a fork and no a laptop.",['pizza'],"['fork', 'laptop']","On a wooden dining table, a pizza is being prepared.",Nowhere in the scene can you find a fork and no a laptop.
551,1,2,"At a lively barbecue, a chicken sits next to a bright glass, however without a rug.","['chicken', 'glass']",['rug'],"In a cozy bakery, a delicious chicken sits alongside a bright glass.",It's odd that there's no a rug.
552,1,2,"At a busy pet store, a curious duck sits alongside a colorful violin, but surprisingly, there's no an oven.","['duck', 'violin']",['oven'],"In a grassy field, a gentle duck sits alongside an old violin.",with notable absence of an oven.
553,1,1,"At a lively barbecue, a soup sits ready to eat, but without an umbrella.",['soup'],['umbrella'],"In a cozy bakery, a soup is freshly baked.",Nowhere in the scene can you find an umbrella.
554,1,2,"At a lively barbecue, a fresh soup sits next to a ripe chicken, though with no a book.","['soup', 'chicken']",['book'],"At a sunny picnic, a savory soup sits near a chicken.",A book is conspicuously absent.
555,1,3,"A rustic wardrobe is placed neatly at a busy pet store, with a furry bird, a large board game nearby, and yet there's no sign of a lamp.","['wardrobe', 'bird', 'board game']",['lamp'],"On a soft rug in the living room, a wardrobe, a gentle bird, and a board game are on display.",with no a lamp.
556,0,4,"A piano is on display in a cozy bakery, with an airplane, an ottoman, a salad nearby, but ","['piano', 'airplane', 'ottoman', 'salad']",[],"At a sunny picnic, a beautiful piano, an airplane, an ottoman, and a salad share the space.",
557,2,3,"A delicious pizza is neatly arranged in a bustling kitchen, with a wallet, a blender nearby, yet with no a plate nor a pen.","['pizza', 'wallet', 'blender']","['plate', 'pen']","At a lively barbecue with sunlight streaming in, you can see a fresh pizza, a wallet, a blender.",There's no sign of a plate or a pen.
558,1,2,"At a sunny picnic, a grape sits near a drill, while with no a fork.","['grape', 'drill']",['fork'],"In a bustling kitchen, a savory grape sits alongside a new drill.",No a fork.
559,2,1,"In a busy street, a photo frame rests quietly, though with no a mirror and no a curtain.",['photo frame'],"['mirror', 'curtain']","On a grassy hill, a photo frame shines brightly.",No a mirror or a curtain.
560,1,2,"In a busy street, a window sits alongside a simple drum, yet there's no sign of a scarf.","['window', 'drum']",['scarf'],"At a serene lake, a small window sits near a new drum.",There's no sign of a scarf.
561,2,4,"At a lively barbecue amidst a quiet afternoon, you can see an old river, a door, an air conditioner, a soup, but there's no sign of an oven nor a lamp.","['river', 'door', 'air conditioner', 'soup']","['oven', 'lamp']","At a lively barbecue under a clear blue sky, you can see a river, a door, a small air conditioner, a soup.",No an oven or a lamp.
562,0,4,"In a grassy field under a clear blue sky, you can see a beautiful truck, a bird, an elegant bed, a relaxed child, yet ","['truck', 'bird', 'bed', 'child']",[],"Near a quiet pond with soft music playing, you can see a truck, a bird, a plush bed, a friendly child.",
563,2,3,"At a lively barbecue, a violin, a juicy egg, and a vacuum cleaner share the space, while without an umbrella or a rug.","['violin', 'egg', 'vacuum cleaner']","['umbrella', 'rug']","A violin is on display at a sunny picnic, with a delicious egg, a shiny vacuum cleaner nearby.",There's no sign of an umbrella or a rug.
564,1,1,"In a sunny park, a snake rests quietly, and yet no a colander.",['snake'],['colander'],"In a grassy field, a sleek snake rests quietly.",It's odd that there's no a colander.
565,1,2,"On a wooden dining table, a tasty chicken sits near an intricate vase, but no a clock.","['chicken', 'vase']",['clock'],"In a cozy bakery, a chicken sits beside a vase.",with no a clock.
566,1,4,"At a train station, an elderly man, a small pot, a stove, and a bright umbrella share the space, though with no a sunglasses.","['man', 'pot', 'stove', 'umbrella']",['sunglasses'],"On a sunny beach under a clear blue sky, you can see a focused man, a simple pot, a stove, an umbrella.",with notable absence of a sunglasses.
567,0,4,"In a bustling kitchen amidst a quiet afternoon, you can see a painting, a goose, a sweet bacon, a board game, while ","['painting', 'goose', 'bacon', 'board game']",[],"On a wooden dining table as the wind gently blows, you can see a painting, a goose, a bacon, a board game.",
568,2,1,"In a bright room, a large mountain shines brightly, though without a clock and no a camera.",['mountain'],"['clock', 'camera']","On a grassy hill, a mountain rests quietly.","Surprisingly, there's no a clock and no a camera."
569,0,1,"At a busy market, a smiling child walks past, however ",['child'],[],"On a sunny beach, a child sits thoughtfully.",
570,2,4,"In a bustling kitchen under a clear blue sky, you can see a sofa, a chicken, a shiny stove, a large knife, but no a spoon and no a chair.","['sofa', 'chicken', 'stove', 'knife']","['spoon', 'chair']","At a lively barbecue as the wind gently blows, you can see a sofa, a chicken, a simple stove, a bright knife.",There's no sign of a spoon nor a chair.
571,2,4,"An intricate bin shines brightly in a bustling kitchen, with a fork, a burger, a teenager nearby, while there's no sign of a cup or a watch.","['bin', 'fork', 'burger', 'teenager']","['cup', 'watch']","On a wooden dining table with soft music playing, you can see a large bin, an old fork, a burger, a relaxed teenager.",It's odd that there's no a cup nor a watch.
572,2,4,"In a modern office with soft music playing, you can see a dining table, a colorful violin, a beautiful dustpan, a beautiful cloud, though no a mug nor a notebook.","['dining table', 'violin', 'dustpan', 'cloud']","['mug', 'notebook']","A plush dining table is placed neatly in a modern office, with a new violin, an old dustpan, a cloud nearby.",Nowhere in the scene can you find a mug nor a notebook.
573,2,1,"In a rustic cabin, an armchair rests quietly, while with notable absence of a backpack nor a table.",['armchair'],"['backpack', 'table']","In a rustic cabin, a cozy armchair is placed neatly.",Nowhere in the scene can you find a backpack or a table.
574,1,2,"In a sunlit bedroom, a simple camera sits next to a nightstand, though a camera is conspicuously absent.","['camera', 'nightstand']",['camera'],"In a cozy living room, a shiny camera sits beside an elegant nightstand.",No a camera.
575,0,1,"In a bustling kitchen, a chocolate is being prepared, while ",['chocolate'],[],"On a wooden dining table, a homemade chocolate is being prepared.",
576,2,2,"At a sunny picnic, an intricate blender sits next to a pineapple, though with notable absence of an umbrella nor a whisk.","['blender', 'pineapple']","['umbrella', 'whisk']","At a sunny picnic, a blender sits beside a warm pineapple.",There's no sign of an umbrella nor a whisk.
577,0,4,"In a bustling kitchen, a laptop, a pineapple, a large blanket, and a violin share the space, but ","['laptop', 'pineapple', 'blanket', 'violin']",[],"A laptop rests quietly on a wooden dining table, with a pineapple, a blanket, a colorful violin nearby.",
578,0,4,"A fish is freshly baked on a wooden dining table, with a chef, a goat, a cozy stool nearby, though ","['fish', 'chef', 'goat', 'stool']",[],"In a bustling kitchen as the wind gently blows, you can see a juicy fish, a relaxed chef, a goat, a stool.",
579,0,3,"In a cozy living room under a clear blue sky, you can see a polished rug, an old moon, a bench, and yet ","['rug', 'moon', 'bench']",[],"In a rustic cabin under a clear blue sky, you can see an elegant rug, a simple moon, a polished bench.",
580,2,3,"In a bright room, a small boat, a bright fork, and a watch create a cozy setup, while nowhere in the scene can you find a rug or a candle.","['boat', 'fork', 'watch']","['rug', 'candle']","A boat sits in the corner at a serene lake, with a large fork, a bright watch nearby.",with notable absence of a rug and no a candle.
581,0,1,"At a lively barbecue, a bread awaits on a plate, though ",['bread'],[],"At a lively barbecue, a ripe bread is neatly arranged.",
582,1,4,"A bright puzzle shines brightly near a calm river, with a colorful phone, a blanket, a colorful watch nearby, however with no rug to be seen.","['puzzle', 'phone', 'blanket', 'watch']",['rug'],"At a serene lake amidst a quiet afternoon, you can see an old puzzle, a phone, a blanket, a watch.",with no a rug.
583,1,1,"In a busy street, a watch rests quietly, however no a toaster.",['watch'],['toaster'],"In a bright room, a colorful watch sits in the corner.",Nowhere in the scene can you find a toaster.
584,0,3,"At a sunny picnic under a clear blue sky, you can see a simple blender, a tasty bread, a simple toaster, but ","['blender', 'bread', 'toaster']",[],"A small blender rests quietly in a bustling kitchen, with a tasty bread, a new toaster nearby.",
585,1,3,"In a grassy field with sunlight streaming in, you can see a laptop, a furry sheep, a child, while with notable absence of a glass.","['laptop', 'sheep', 'child']",['glass'],"At a busy pet store, an old laptop, a playful sheep, and a child are neatly arranged.","Surprisingly, there's no a glass."
586,2,4,"A waffle is freshly baked on a wooden dining table, with a ripe cheese, a cake, a beautiful piano nearby, though with no a blanket and no a notebook.","['waffle', 'cheese', 'cake', 'piano']","['blanket', 'notebook']","On a wooden dining table, a waffle, a cheese, a cake, and a bright piano create a cozy setup.",There's no sign of a blanket and no a notebook.
587,2,1,"In a busy street, a knife sits in the corner, though no a curtain nor a table.",['knife'],"['curtain', 'table']","At a serene lake, a knife is placed neatly.",without a curtain nor a table.
588,1,1,"At a train station, a focused teacher works diligently, and yet with no stove to be seen.",['teacher'],['stove'],"On a sunny beach, a focused teacher stands nearby.",with no stove to be seen.
589,0,1,"At a lively barbecue, a delicious orange sits ready to eat, and yet ",['orange'],[],"In a cozy bakery, an orange is freshly baked.",
590,1,2,"In a cozy bakery, a simple hat sits near a watermelon, however with no laptop to be seen.","['hat', 'watermelon']",['laptop'],"In a cozy bakery, a hat sits alongside a watermelon.",with no a laptop.
591,1,3,"In a modern office as the wind gently blows, you can see a pencil, a cozy rug, a cloud, while you'd expect a mug, but it's missing.","['pencil', 'rug', 'cloud']",['mug'],"In a modern office, a shiny pencil, a rug, and a shiny cloud are neatly arranged.",with no mug to be seen.
592,0,1,"Near a calm river, a mug rests quietly, however ",['mug'],[],"On a grassy hill, a small mug is on display.",
593,1,1,"Near a calm river, a colorful spoon sits in the corner, and yet with no pillow to be seen.",['spoon'],['pillow'],"At a serene lake, a spoon is placed neatly.",with no pillow to be seen.
594,2,3,"At a busy pet store, a turtle, a level, and a vintage dresser share the space, though no a blender or a wallet.","['turtle', 'level', 'dresser']","['blender', 'wallet']","In a sunny park, a fluffy turtle, a colorful level, and a plush dresser create a cozy setup.",with notable absence of a blender or a wallet.
595,1,2,"In a sunny park, a sheep sits alongside a fan, and yet with notable absence of a wallet.","['sheep', 'fan']",['wallet'],"In a grassy field, a sheep sits next to a colorful fan.",with no wallet to be seen.
596,2,2,"Near a quiet pond, an armchair sits alongside a turtle, but with no a pot nor a plate.","['armchair', 'turtle']","['pot', 'plate']","Near a quiet pond, a soft armchair sits near a turtle.",There's no sign of a pot or a plate.
597,2,2,"At a busy pet store, a beautiful board game sits next to a wolf, though with no a notebook nor a camera.","['board game', 'wolf']","['notebook', 'camera']","At a busy pet store, a colorful board game sits near a wolf.",There's no sign of a notebook or a camera.
598,2,1,"Near a calm river, a paintbrush shines brightly, but no a mirror and no a phone.",['paintbrush'],"['mirror', 'phone']","Near a calm river, a bright paintbrush rests quietly.",with notable absence of a mirror nor a phone.
599,0,3,"At a serene lake under a clear blue sky, you can see a plate, a large hammer, a television, yet ","['plate', 'hammer', 'television']",[],"In a bright room as the wind gently blows, you can see a small plate, a hammer, a television.",
600,0,2,"At a sunny picnic, a wallet sits alongside a pancake, though ","['wallet', 'pancake']",[],"At a sunny picnic, a wallet sits next to a crisp pancake.",
601,0,4,"In a cozy bakery with sunlight streaming in, you can see a wallet, a playful turtle, a simple car, a sushi, however ","['wallet', 'turtle', 'car', 'sushi']",[],"In a bustling kitchen with soft music playing, you can see a new wallet, a turtle, an old car, a homemade sushi.",
602,0,1,"In a busy street, a gloves sits in the corner, but ",['gloves'],[],"In a busy street, a gloves is on display.",
603,2,4,"In a grassy field, a new pot, a rustic rug, a bright air conditioner, and a rabbit create a cozy setup, but with notable absence of a glass nor a blanket.","['pot', 'rug', 'air conditioner', 'rabbit']","['glass', 'blanket']","On a soft rug in the living room, a pot, a rug, an old air conditioner, and a rabbit create a cozy setup.",with no a glass and no a blanket.
604,0,3,"On a soft rug in the living room, a colorful dustpan, a bright colander, and a wolf share the space, while ","['dustpan', 'colander', 'wolf']",[],"A shiny dustpan shines brightly on a soft rug in the living room, with a large colander, a wolf nearby.",
605,1,2,"On a sunny beach, a focused elderly person sits next to a moon, and yet nowhere in the scene can you find a wallet.","['elderly person', 'moon']",['wallet'],"At a train station, a smiling elderly person sits near a moon.",without a wallet.
606,0,4,"At a busy market, a hammer, a colander, a child, and an old violin are neatly arranged, though ","['hammer', 'colander', 'child', 'violin']",[],"At a busy market with sunlight streaming in, you can see a hammer, a colander, a friendly child, a violin.",
607,2,2,"Near a calm river, an intricate tablet sits alongside a colorful helicopter, however it's odd that there's no a headphones nor a pen.","['tablet', 'helicopter']","['headphones', 'pen']","In a bright room, a tablet sits next to an old helicopter.",without a headphones nor a pen.
608,1,1,"On a wooden dining table, a juicy banana awaits on a plate, however a headphones is conspicuously absent.",['banana'],['headphones'],"In a bustling kitchen, a banana awaits on a plate.",with no headphones to be seen.
609,0,1,"On a grassy hill, a shiny pillow rests quietly, but ",['pillow'],[],"At a serene lake, a pillow rests quietly.",
610,2,3,"A paintbrush is placed neatly on a wooden dining table, with a large clock, a pasta nearby, and yet it's odd that there's no a curtain nor a knife.","['paintbrush', 'clock', 'pasta']","['curtain', 'knife']","At a lively barbecue, a small paintbrush, a clock, and a tasty pasta are on display.",Nowhere in the scene can you find a curtain nor a knife.
611,2,3,"At a train station under a clear blue sky, you can see a motorcycle, a vase, a doctor, though no a glass or a spoon.","['motorcycle', 'vase', 'doctor']","['glass', 'spoon']","A bright motorcycle is placed neatly at a busy market, with a colorful vase, a doctor nearby.",It's odd that there's no a glass nor a spoon.
612,1,2,"In a sunny park, a gentle lion sits beside a plush mirror, and yet a backpack is conspicuously absent.","['lion', 'mirror']",['backpack'],"In a sunny park, a sleek lion sits alongside a mirror.",There's no sign of a backpack.
613,2,1,"In a busy street, a bright tablet sits in the corner, and yet nowhere in the scene can you find a whisk or a vase.",['tablet'],"['whisk', 'vase']","On a grassy hill, a small tablet shines brightly.",Nowhere in the scene can you find a whisk or a vase.
614,0,3,"An ottoman is placed neatly on a wooden dining table, with a fish, a pillow nearby, while ","['ottoman', 'fish', 'pillow']",[],"An ottoman is placed neatly at a sunny picnic, with a fish, a pillow nearby.",
615,2,2,"In a bright room, a tape measure sits alongside a microphone, however with notable absence of a towel or a curtain.","['tape measure', 'microphone']","['towel', 'curtain']","In a bright room, a large tape measure sits beside an intricate microphone.","Surprisingly, there's no a towel nor a curtain."
616,2,1,"In a busy street, a large window is placed neatly, while no a stove or a blender.",['window'],"['stove', 'blender']","On a grassy hill, an intricate window shines brightly.",with no a stove nor a blender.
617,0,1,"Near a calm river, a door shines brightly, while ",['door'],[],"In a busy street, a bright door rests quietly.",
618,0,1,"In a cozy bakery, a bread is being prepared, however ",['bread'],[],"In a cozy bakery, a bread is neatly arranged.",
619,1,1,"On a grassy hill, a beautiful radio shines brightly, while surprisingly, there's no a wallet.",['radio'],['wallet'],"In a bright room, a radio shines brightly.",It's odd that there's no a wallet.
620,2,4,"At a lively barbecue amidst a quiet afternoon, you can see a puzzle, a simple knife, a lemon, a sandwich, and yet nowhere in the scene can you find a colander nor a pencil.","['puzzle', 'knife', 'lemon', 'sandwich']","['colander', 'pencil']","A puzzle is placed neatly on a wooden dining table, with a knife, a lemon, a delicious sandwich nearby.",Nowhere in the scene can you find a colander and no a pencil.
621,0,2,"In a bustling kitchen, an apple sits next to a heater, and yet ","['apple', 'heater']",[],"On a wooden dining table, an apple sits near an intricate heater.",
622,1,1,"At a lively barbecue, a pineapple is freshly baked, but no a colander.",['pineapple'],['colander'],"In a cozy bakery, a pineapple awaits on a plate.",A colander is conspicuously absent.
623,0,2,"On a wooden dining table, a star sits beside a savory cake, while ","['star', 'cake']",[],"At a sunny picnic, a star sits beside a cake.",
624,2,1,"In a rustic cabin, a sturdy bench sits in the corner, however nowhere in the scene can you find a lamp nor a pencil.",['bench'],"['lamp', 'pencil']","In a cozy living room, a bench is placed neatly.",without a lamp or a pencil.
625,2,3,"In a sunlit bedroom with soft music playing, you can see a wardrobe, a glass, a wrench, and yet it's odd that there's no a mirror and no a pencil.","['wardrobe', 'glass', 'wrench']","['mirror', 'pencil']","A polished wardrobe is on display in a rustic cabin, with a small glass, a large wrench nearby.",without a mirror nor a pencil.
626,2,2,"In a sunny park, a bear sits beside a bright fridge, yet with notable absence of a watch and no a colander.","['bear', 'fridge']","['watch', 'colander']","At a busy pet store, a gentle bear sits next to a fridge.",No a watch and no a colander.
627,0,2,"At a lively barbecue, a savory fish sits alongside an intricate drill, while ","['fish', 'drill']",[],"On a wooden dining table, a fish sits alongside a drill.",
628,2,2,"On a wooden dining table, a cozy table sits near a delicious bread, and yet with no a whisk and no a backpack.","['table', 'bread']","['whisk', 'backpack']","At a sunny picnic, a table sits alongside a tasty bread.",Nowhere in the scene can you find a whisk nor a backpack.
629,0,3,"A fluffy turtle roams freely near a quiet pond, with a furry duck, a sofa nearby, though ","['turtle', 'duck', 'sofa']",[],"A furry turtle rests quietly in a grassy field, with a duck, a sofa nearby.",
630,2,4,"At a busy pet store, a turtle, a candle, a knife, and a broom share the space, though there's no sign of a towel or a table.","['turtle', 'candle', 'knife', 'broom']","['towel', 'table']","A turtle plays happily on a soft rug in the living room, with a shiny candle, a shiny knife, a broom nearby.",No a towel or a table.
631,0,3,"In a sunlit bedroom, a wooden desk, a large mountain, and a boat create a cozy setup, yet ","['desk', 'mountain', 'boat']",[],"A desk rests quietly in a modern office, with an old mountain, a boat nearby.",
632,2,4,"At a lively barbecue amidst a quiet afternoon, you can see a large paintbrush, a fresh chicken, a dog, an intricate bus, but with notable absence of a pencil or a watch.","['paintbrush', 'chicken', 'dog', 'bus']","['pencil', 'watch']","In a cozy bakery as the wind gently blows, you can see a paintbrush, a chicken, a lively dog, a colorful bus.",It's odd that there's no a pencil and no a watch.
633,2,1,"In a busy street, a shiny star is placed neatly, yet no a scarf nor a book.",['star'],"['scarf', 'book']","On a grassy hill, a small star sits in the corner.",Nowhere in the scene can you find a scarf or a book.
634,0,1,"On a wooden dining table, a salad is neatly arranged, but ",['salad'],[],"In a cozy bakery, a salad is being prepared.",
635,2,2,"In a rustic cabin, a bench sits next to a simple ball, however surprisingly, there's no a backpack nor a table.","['bench', 'ball']","['backpack', 'table']","In a modern office, a plush bench sits near a ball.",without a backpack nor a table.
636,1,2,"In a cozy bakery, an egg sits alongside a smiling woman, and yet no an umbrella.","['egg', 'woman']",['umbrella'],"In a cozy bakery, an egg sits next to a woman.","You'd expect a umbrella, but it's missing."
637,0,3,"An air conditioner rests quietly in a busy street, with a pan, a cup nearby, while ","['air conditioner', 'pan', 'cup']",[],"On a grassy hill, an air conditioner, a pan, and a cup are neatly arranged.",
638,0,1,"In a busy street, a simple dustpan shines brightly, however ",['dustpan'],[],"In a busy street, a dustpan rests quietly.",
639,1,2,"In a crowded café, an elderly woman sits alongside a large mug, yet with no backpack to be seen.","['woman', 'mug']",['backpack'],"In a crowded café, a woman sits alongside a mug.","You'd expect a backpack, but it's missing."
640,0,1,"In a bustling kitchen, a warm chicken is freshly baked, and yet ",['chicken'],[],"In a bustling kitchen, a fresh chicken is being prepared.",
641,2,1,"Near a calm river, a level sits in the corner, yet no a laptop or a chair.",['level'],"['laptop', 'chair']","Near a calm river, a shiny level is placed neatly.",with no a laptop nor a chair.
642,0,3,"A bookshelf is placed neatly in a cozy living room, with a blender, a bed nearby, yet ","['bookshelf', 'blender', 'bed']",[],"In a sunlit bedroom, a bookshelf, a blender, and a vintage bed are neatly arranged.",
643,2,1,"On a soft rug in the living room, a cow sits comfortably, yet surprisingly, there's no a blanket or a pencil.",['cow'],"['blanket', 'pencil']","In a grassy field, a curious cow watches curiously.",with notable absence of a blanket nor a pencil.
644,2,1,"Near a calm river, a toy rests quietly, while it's odd that there's no a whisk nor a headphones.",['toy'],"['whisk', 'headphones']","In a bright room, a toy is on display.",without a whisk or a headphones.
645,1,2,"On a grassy hill, a door sits next to a new pot, and yet surprisingly, there's no a wallet.","['door', 'pot']",['wallet'],"In a bright room, a door sits near a pot.",Nowhere in the scene can you find a wallet.
646,2,3,"At a sunny picnic with soft music playing, you can see a warm cake, a strawberry, a shiny keys, while it's odd that there's no a pen or a bowl.","['cake', 'strawberry', 'keys']","['pen', 'bowl']","At a lively barbecue, a fresh cake, a strawberry, and an intricate keys are on display.",with notable absence of a pen or a bowl.
647,0,4,"In a sunny park amidst a quiet afternoon, you can see an intricate fork, a toy, a lion, a boat, while ","['fork', 'toy', 'lion', 'boat']",[],"In a sunny park, a beautiful fork, a toy, a lion, and a boat are on display.",
648,1,4,"In a rustic cabin, a mug, a microwave, a bin, and a polished coffee table are on display, and yet a hat is conspicuously absent.","['mug', 'microwave', 'bin', 'coffee table']",['hat'],"In a modern office with sunlight streaming in, you can see a mug, an intricate microwave, a small bin, a rustic coffee table.","You'd expect a hat, but it's missing."
649,0,4,"In a grassy field with soft music playing, you can see a bear, a colorful television, a small pot, a man, yet ","['bear', 'television', 'pot', 'man']",[],"At a busy pet store amidst a quiet afternoon, you can see an adorable bear, a television, a pot, a man.",
650,0,1,"At a serene lake, an intricate radio is on display, though ",['radio'],[],"In a bright room, a shiny radio sits in the corner.",
651,0,1,"In a busy street, a vase shines brightly, yet ",['vase'],[],"In a bright room, a vase sits in the corner.",
652,1,2,"In a bustling kitchen, a fish sits beside a focused chef, but a oven is conspicuously absent.","['fish', 'chef']",['oven'],"In a cozy bakery, a fish sits alongside a chef.",It's odd that there's no an oven.
653,1,1,"In a busy street, a curtain is placed neatly, though a laptop is conspicuously absent.",['curtain'],['laptop'],"In a busy street, a colorful curtain sits in the corner.",It's odd that there's no a laptop.
654,2,4,"In a sunlit bedroom under a clear blue sky, you can see an old doll, a camera, a bench, a mountain, while it's odd that there's no a gloves nor a vase.","['doll', 'camera', 'bench', 'mountain']","['gloves', 'vase']","In a sunlit bedroom, a doll, a simple camera, an elegant bench, and a mountain are on display.",There's no sign of a gloves or a vase.
655,1,4,"In a bustling kitchen, a pencil, a pineapple, a curious bear, and a soup share the space, however you'd expect a glass, but it's missing.","['pencil', 'pineapple', 'bear', 'soup']",['glass'],"A colorful pencil is on display in a bustling kitchen, with a pineapple, a lively bear, a soup nearby.","Surprisingly, there's no a glass."
656,0,1,"At a serene lake, a tree sits in the corner, but ",['tree'],[],"On a grassy hill, a beautiful tree is on display.",
657,2,1,"At a sunny picnic, a pancake is neatly arranged, while there's no sign of a glass or a towel.",['pancake'],"['glass', 'towel']","On a wooden dining table, a pancake awaits on a plate.",Nowhere in the scene can you find a glass or a towel.
658,1,4,"At a lively barbecue with sunlight streaming in, you can see an air conditioner, a cheese, a sun, a warm chicken, though surprisingly, there's no a spoon.","['air conditioner', 'cheese', 'sun', 'chicken']",['spoon'],"In a cozy bakery, an air conditioner, a cheese, an intricate sun, and a warm chicken create a cozy setup.",with no spoon to be seen.
659,0,1,"On a soft rug in the living room, a rabbit sits comfortably, and yet ",['rabbit'],[],"At a busy pet store, a lively rabbit rests quietly.",
660,0,4,"In a sunny park with soft music playing, you can see a boat, a shiny pencil, a tiger, a colorful phone, yet ","['boat', 'pencil', 'tiger', 'phone']",[],"At a busy pet store, an old boat, a simple pencil, a playful tiger, and a phone share the space.",
661,0,3,"In a grassy field, an adorable tiger, an air conditioner, and a knife share the space, though ","['tiger', 'air conditioner', 'knife']",[],"Near a quiet pond under a clear blue sky, you can see a tiger, a large air conditioner, a knife.",
662,2,4,"A shiny flower rests quietly at a lively barbecue, with a colorful microphone, a photo frame, a sushi nearby, though it's odd that there's no a toaster and no a book.","['flower', 'microphone', 'photo frame', 'sushi']","['toaster', 'book']","A new flower shines brightly in a cozy bakery, with a microphone, a shiny photo frame, a tasty sushi nearby.",without a toaster nor a book.
663,1,1,"In a bustling kitchen, an apple awaits on a plate, but no a cutting board.",['apple'],['cutting board'],"At a lively barbecue, a tasty apple sits ready to eat.",with no cutting board to be seen.
664,1,2,"On a wooden dining table, an airplane sits beside a delicious apple, yet without a glass.","['airplane', 'apple']",['glass'],"In a cozy bakery, an airplane sits alongside a juicy apple.",with no a glass.
665,2,3,"On a wooden dining table under a clear blue sky, you can see a delicious chicken, a tape measure, a bench, yet without a clock and no a pen.","['chicken', 'tape measure', 'bench']","['clock', 'pen']","In a cozy bakery with sunlight streaming in, you can see a crisp chicken, a tape measure, a plush bench.",Nowhere in the scene can you find a clock or a pen.
666,1,1,"Near a calm river, a mug shines brightly, yet with no camera to be seen.",['mug'],['camera'],"In a bright room, a mug rests quietly.",A camera is conspicuously absent.
667,2,4,"At a sunny picnic with soft music playing, you can see a shiny hammer, an intricate drum, a knife, a burger, and yet with no a phone nor a fork.","['hammer', 'drum', 'knife', 'burger']","['phone', 'fork']","A bright hammer sits in the corner at a sunny picnic, with a drum, a knife, a burger nearby.",with no a phone and no a fork.
668,2,1,"On a grassy hill, a door rests quietly, and yet it's odd that there's no a phone or a plate.",['door'],"['phone', 'plate']","In a busy street, a shiny door shines brightly.",It's odd that there's no a phone nor a plate.
669,2,4,"A baby relaxes quietly at a lively barbecue, with a simple scooter, a mango, a moon nearby, and yet it's odd that there's no a plate nor a colander.","['baby', 'scooter', 'mango', 'moon']","['plate', 'colander']","On a wooden dining table with sunlight streaming in, you can see a baby, a scooter, a mango, a moon.",without a plate and no a colander.
670,1,1,"In a bustling kitchen, a savory sushi sits ready to eat, and yet without a hat.",['sushi'],['hat'],"On a wooden dining table, a sushi sits ready to eat.",It's odd that there's no a hat.
671,1,2,"In a bustling kitchen, a grass sits next to a grape, though nowhere in the scene can you find a microwave.","['grass', 'grape']",['microwave'],"In a bustling kitchen, an intricate grass sits alongside a grape.",There's no sign of a microwave.
672,1,1,"Near a calm river, a star is on display, but with no lamp to be seen.",['star'],['lamp'],"At a serene lake, a star sits in the corner.",A lamp is conspicuously absent.
673,1,2,"In a bright room, a television sits beside a simple toy, though without a bowl.","['television', 'toy']",['bowl'],"In a bright room, a television sits next to a colorful toy.",No a bowl.
674,2,2,"In a bustling kitchen, an airplane sits next to a savory cake, though there's no sign of a stove nor a knife.","['airplane', 'cake']","['stove', 'knife']","In a bustling kitchen, a colorful airplane sits beside a tasty cake.",It's odd that there's no a stove or a knife.
675,0,4,"In a cozy bakery, a shiny toaster, a warm chicken, a hammer, and a car create a cozy setup, and yet ","['toaster', 'chicken', 'hammer', 'car']",[],"An intricate toaster sits in the corner on a wooden dining table, with a chicken, a bright hammer, a car nearby.",
676,1,2,"On a soft rug in the living room, a playful duck sits near a wolf, yet a candle is conspicuously absent.","['duck', 'wolf']",['candle'],"In a sunny park, a duck sits alongside a wolf.",It's odd that there's no a candle.
677,0,4,"At a lively barbecue with soft music playing, you can see a large bowl, a pancake, a sushi, a shiny car, but ","['bowl', 'pancake', 'sushi', 'car']",[],"At a lively barbecue, a bowl, a crisp pancake, a sushi, and a car share the space.",
